City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Camacha,PT,71.53,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
1,Faanui,PF,78.78,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
2,Sainte-Thecle,CA,77.05,overcast clouds,46.8168,-72.4991,Camping Lac et Forêt
9,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
10,Salalah,OM,78.89,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
12,Bandarban,BD,76.35,overcast clouds,22.1965,92.2262,Hotel Plaza
18,Rikitea,PF,74.08,light rain,-23.1203,-134.9692,People ThankYou
21,Paita,PE,77.56,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
33,Thompson,CA,71.76,scattered clouds,55.7435,-97.8558,Burntwood Hotel
34,Hobyo,SO,76.57,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
40,Atuona,PF,78.15,scattered clouds,-9.8,-139.0333,Villa Enata
41,Fairbanks,US,71.24,light rain,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
52,Saquarema,BR,75.22,clear sky,-22.92,-42.5103,Hotel Fazenda Sol e Lua
58,Ponta Do Sol,PT,75.0,clear sky,32.6667,-17.1,Hotel do Campo
64,Katsuura,JP,75.11,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
67,Misratah,LY,79.75,clear sky,32.3754,15.0925,فندق الماسة
68,Vanimo,PG,78.15,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
79,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
82,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
84,Kasongo-Lunda,CD,71.37,broken clouds,-6.4667,16.8167,
93,Kamsack,CA,79.25,few clouds,51.5667,-101.9009,Liquor Store Kamsack & Woodlander Hotel
94,Bengkulu,ID,73.63,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
97,Sao Joao Da Barra,BR,71.6,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
102,Vostok,RU,76.71,light rain,46.4856,135.8833,
110,Yellowknife,CA,70.32,broken clouds,62.456,-114.3525,The Explorer Hotel
117,Ribeira Grande,PT,70.86,clear sky,38.5167,-28.7,Quinta da Meia Eira
125,Tukrah,LY,77.97,clear sky,32.5341,20.5791,Lokta restaurant
133,Warka,PL,70.68,clear sky,51.7843,21.1909,Hotel Sielanka nad Pilicą
142,Noumea,NC,71.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
143,Kapoeta,SS,73.29,overcast clouds,4.7717,33.5903,Eastgate Hotel
145,Rassvet,RU,76.46,broken clouds,46.8333,40.75,
146,Hilo,US,78.53,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
149,Sibolga,ID,76.77,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
151,Sao Filipe,CV,75.38,few clouds,14.8961,-24.4956,Hotel Xaguate
158,Hay River,CA,71.58,broken clouds,60.8156,-115.7999,Ptarmigan Inn
166,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
167,Wawa,NG,76.82,overcast clouds,9.9022,4.4192,
172,Khasan,RU,72.48,broken clouds,42.4308,130.6434,
176,North Bend,US,77.23,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
177,Vila Velha,BR,73.35,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
179,Juegang,CN,77.97,light rain,32.3174,121.1855,Rudong Y Hotel
183,Kindu,CD,71.98,broken clouds,-2.95,25.95,Résidence Okanda
184,Leskovac,RS,76.62,broken clouds,42.9981,21.9461,HOTEL ABC
192,Muroto,JP,78.84,broken clouds,33.2833,134.15,Oota Ryokan
