City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Camacha,PT,33.0833,-16.3333,71.53,78,75,11.5,broken clouds
1,Faanui,PF,-16.4833,-151.75,78.78,75,55,12.5,broken clouds
2,Sainte-Thecle,CA,46.8168,-72.4991,77.05,76,100,6.78,overcast clouds
3,Hobart,AU,-42.8794,147.3294,50.25,88,75,1.01,broken clouds
4,Mandalgovi,MN,45.7625,106.2708,62.8,67,79,4.5,broken clouds
5,Albany,US,42.6001,-73.9662,84.58,51,0,9.08,clear sky
6,Nikolskoye,RU,59.7035,30.7861,64.29,68,12,2.39,few clouds
7,Cape Town,ZA,-33.9258,18.4232,60.1,52,0,9.22,clear sky
8,Bluff,NZ,-46.6,168.3333,44.8,77,32,18.45,scattered clouds
9,Puerto Ayora,EC,-0.7393,-90.3518,76.96,84,43,8.01,scattered clouds
10,Salalah,OM,17.0151,54.0924,78.89,83,75,4.61,broken clouds
11,Geraldton,AU,-28.7667,114.6,63.01,82,90,21.85,overcast clouds
12,Bandarban,BD,22.1965,92.2262,76.35,94,100,8.81,overcast clouds
13,Margate,GB,51.3813,1.3862,66.06,86,32,1.99,scattered clouds
14,Mehamn,NO,71.0357,27.8492,44.51,89,25,3.0,scattered clouds
15,Busselton,AU,-33.65,115.3333,50.04,69,99,33.33,overcast clouds
16,Fortuna,US,40.5982,-124.1573,98.47,77,100,7.07,overcast clouds
17,Cayenne,GF,4.9333,-52.3333,82.44,80,52,1.99,broken clouds
18,Rikitea,PF,-23.1203,-134.9692,74.08,77,89,18.45,light rain
19,Lavrentiya,RU,65.5833,-171.0,45.3,98,100,3.8,overcast clouds
20,Port Elizabeth,ZA,-33.918,25.5701,67.1,29,0,8.05,clear sky
21,Paita,PE,-5.0892,-81.1144,77.56,77,1,16.78,clear sky
22,Ushuaia,AR,-54.8,-68.3,35.26,75,75,6.91,broken clouds
23,Oktyabrskiy,RU,54.4815,53.471,60.03,53,77,4.52,broken clouds
24,Hermanus,ZA,-34.4187,19.2345,50.81,62,35,5.95,scattered clouds
25,Kodiak,US,57.79,-152.4072,60.31,67,90,6.91,overcast clouds
26,Saint-Philippe,RE,-21.3585,55.7679,67.55,78,71,11.59,light rain
27,Aklavik,CA,68.2191,-135.0107,60.8,72,75,5.75,light intensity shower rain
28,Rio Grande,BR,-32.035,-52.0986,51.94,94,100,16.82,light rain
29,Ostrovnoy,RU,68.0531,39.5131,46.31,85,100,23.06,overcast clouds
30,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,71,90,5.75,overcast clouds
