City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2021-07-24 15:28:47,-53.15,-70.9167,39.22,81,75,12.66
1,Balaipungut,ID,2021-07-24 15:41:54,1.05,101.2833,82.81,87,58,0.4
2,Tuktoyaktuk,CA,2021-07-24 15:33:48,69.4541,-133.0374,53.6,71,40,14.97
3,Kodinsk,RU,2021-07-24 15:41:55,58.6881,99.1844,66.24,64,17,3.15
4,Opuwo,NA,2021-07-24 15:41:55,-18.0607,13.84,74.61,9,0,10.67
5,Kaeo,NZ,2021-07-24 15:41:56,-35.1,173.7833,53.33,89,42,9.84
6,Alta Floresta,BR,2021-07-24 15:41:56,-9.8756,-56.0861,93.02,33,0,11.5
7,Severo-Kurilsk,RU,2021-07-24 15:41:56,50.6789,156.125,53.94,96,85,2.73
8,Takoradi,GH,2021-07-24 15:41:57,4.8845,-1.7554,77.94,70,80,9.22
9,Merrill,US,2021-07-24 15:41:57,45.1805,-89.6835,74.17,92,75,5.75
10,Nenjiang,CN,2021-07-24 15:41:58,49.1833,125.2167,66.42,88,97,2.33
11,Tual,ID,2021-07-24 15:41:58,-5.6667,132.75,79.72,79,99,12.46
12,Botro,CI,2021-07-24 15:41:58,7.8525,-5.3106,80.08,62,100,3.98
13,Tuatapere,NZ,2021-07-24 15:28:52,-46.1333,167.6833,39.81,84,100,7.61
14,Tasiilaq,GL,2021-07-24 15:33:10,65.6145,-37.6368,42.96,97,100,2.77
15,Rikitea,PF,2021-07-24 15:32:26,-23.1203,-134.9692,68.7,55,0,2.98
16,Alofi,NU,2021-07-24 15:29:33,-19.0595,-169.9187,73.29,100,89,4.61
17,Puerto Ayora,EC,2021-07-24 15:32:46,-0.7393,-90.3518,78.76,78,34,7.0
18,Hobart,AU,2021-07-24 15:31:44,-42.8794,147.3294,44.26,85,99,1.99
19,Basco,PH,2021-07-24 15:42:00,20.4487,121.9702,82.74,88,94,32.23
20,Ponta Do Sol,PT,2021-07-24 15:32:33,32.6667,-17.1,83.71,64,0,4.9
21,Hasaki,JP,2021-07-24 15:34:24,35.7333,140.8333,75.6,83,0,5.99
22,Ushuaia,AR,2021-07-24 15:32:47,-54.8,-68.3,37.06,81,20,5.75
23,Hilo,US,2021-07-24 15:29:24,19.7297,-155.09,74.8,94,90,0.0
24,Ambon,ID,2021-07-24 15:42:01,-3.6954,128.1814,78.15,85,100,8.25
25,Port Alfred,ZA,2021-07-24 15:32:52,-33.5906,26.891,58.57,70,0,21.36
26,Torbay,CA,2021-07-24 15:33:08,47.6666,-52.7314,67.87,70,75,14.97
27,Mataura,NZ,2021-07-24 15:42:02,-46.1927,168.8643,39.47,92,93,4.03
28,Kyshtovka,RU,2021-07-24 15:42:02,56.555,76.6271,69.44,85,49,6.26
29,Mount Isa,AU,2021-07-24 15:34:15,-20.7333,139.5,49.77,53,62,0.0
30,Kaitangata,NZ,2021-07-24 15:34:03,-46.2817,169.8464,40.93,58,70,4.5
31,Klaksvik,FO,2021-07-24 15:33:58,62.2266,-6.589,54.52,94,81,21.88
32,Marfino,RU,2021-07-24 15:42:03,55.7028,37.3822,71.51,40,0,6.71
33,Bluff,NZ,2021-07-24 15:33:31,-46.6,168.3333,39.79,78,88,11.92
34,Hithadhoo,MV,2021-07-24 15:33:01,-0.6,73.0833,82.72,77,66,12.17
35,Lavrentiya,RU,2021-07-24 15:29:37,65.5833,-171.0,47.7,87,100,8.75
36,Tukrah,LY,2021-07-24 15:42:04,32.5341,20.5791,80.89,65,0,12.17
37,Codrington,AU,2021-07-24 15:33:47,-38.2667,141.9667,42.21,82,99,20.02
38,Cabedelo,BR,2021-07-24 15:42:05,-6.9811,-34.8339,83.07,61,0,17.81
39,Saint-Augustin,CA,2021-07-24 15:42:05,51.226,-58.6502,56.77,69,91,8.68
40,Byron Bay,AU,2021-07-24 15:38:53,-28.65,153.6167,56.88,60,2,11.07
41,Dikson,RU,2021-07-24 15:32:33,73.5069,80.5464,37.87,96,100,30.58
42,Chuy,UY,2021-07-24 15:32:46,-33.6971,-53.4616,66.2,71,54,4.68
43,Nouadhibou,MR,2021-07-24 15:39:40,20.931,-17.0347,75.18,78,20,18.41
44,Saldanha,ZA,2021-07-24 15:33:44,-33.0117,17.9442,68.05,59,9,7.74
45,Aksarka,RU,2021-07-24 15:42:07,66.5606,67.7975,60.13,63,78,9.35
46,Cidreira,BR,2021-07-24 15:40:38,-30.1811,-50.2056,70.93,49,0,4.56
47,Kodiak,US,2021-07-24 15:32:52,57.79,-152.4072,54.91,94,90,0.0
48,Sola,VU,2021-07-24 15:42:08,-13.8833,167.55,77.67,100,75,0.0
49,Hambantota,LK,2021-07-24 15:32:57,6.1241,81.1185,79.14,89,75,5.75
50,Isangel,VU,2021-07-24 15:42:09,-19.55,169.2667,75.07,86,6,2.86
51,Whitianga,NZ,2021-07-24 15:42:09,-36.8333,175.7,54.01,80,90,14.05
52,Nikolskoye,RU,2021-07-24 15:32:38,59.7035,30.7861,69.4,40,33,5.21
53,Brae,GB,2021-07-24 15:42:10,60.3964,-1.353,55.31,78,100,6.85
54,Yellowknife,CA,2021-07-24 15:32:31,62.456,-114.3525,48.72,66,75,1.99
55,Chokurdakh,RU,2021-07-24 15:33:43,70.6333,147.9167,33.91,95,18,11.63
56,Derzhavinsk,KZ,2021-07-24 15:42:11,51.1,66.3167,79.12,47,78,16.06
57,Tiksi,RU,2021-07-24 15:33:47,71.6872,128.8694,40.01,91,100,6.55
58,Aswan,EG,2021-07-24 15:33:22,24.0934,32.907,105.1,15,0,13.8
59,Avarua,CK,2021-07-24 15:32:36,-21.2078,-159.775,68.05,88,75,3.44
60,New Norfolk,AU,2021-07-24 15:32:50,-42.7826,147.0587,43.92,82,100,2.98
61,Albany,US,2021-07-24 15:31:36,42.6001,-73.9662,78.53,63,2,1.99
62,Ongandjera,NA,2021-07-24 15:42:06,-17.8833,15.0667,72.46,11,0,6.93
63,Kahului,US,2021-07-24 15:32:29,20.8947,-156.47,77.85,89,1,9.22
64,Povenets,RU,2021-07-24 15:42:12,62.8487,34.8262,60.89,51,100,6.93
